Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,S_P500,SOXX,ADR,TaiwanAll
2013/6/6,108.5,109.5,107,107.5,108.6,109.5,111.4,106.16,34251,32070,28191,-0.02,0.7,-0.72,30.56%,32.25%,1608.9,465.29,18.66,8096.14
2013/6/7,108,109.5,108,108.5,108.4,109.4,111.1,106.26,33086,31246,28826,-0.11,0.54,-0.65,31.49%,31.99%,1622.56,464.66,18.6,8095.2
2013/6/10,110,110,108,108.5,108.6,109.05,110.8,106.33,21941,28467,29104,-0.17,0.4,-0.57,33.11%,32.37%,1643.38,471.47,18.690001,8160.55
2013/6/11,110,110,108,108,108.4,108.9,110.43,106.39,37163,30404,30544,-0.23,0.27,-0.51,32.08%,32.27%,1642.81,473.97,18.809999,8116.15
2013/6/13,106,107,104,104.5,107.4,108.25,109.9,106.42,61059,37500,34972,-0.56,0.1,-0.67,23.61%,29.38%,1626.13,463.43,18.52,7951.66
2013/6/14,105,106,104.5,106,107.1,107.85,109.53,106.51,41207,38891,35481,-0.76,-0.07,-0.69,25.99%,28.25%,1612.52,458.33,18.360001,7937.74
2013/6/17,105.5,106,105,106,106.6,107.5,109.15,106.61,23015,36877,34061,-0.9,-0.24,-0.66,27.59%,28.03%,1636.36,467.38,18.27,7992.89
2013/6/18,105,106.5,104.5,106.5,106.2,107.4,108.78,106.74,31676,38824,33646,-0.98,-0.38,-0.59,31.21%,29.09%,1626.73,465.53,17.99,8011.02
2013/6/19,106,106.5,105,105.5,105.7,107.05,108.43,106.85,22085,35808,33106,-1.06,-0.52,-0.54,29.14%,29.11%,1639.04,472.34,18.120001,8007.39
2013/6/20,105,105.5,103.5,104,105.6,106.5,108.03,106.95,29998,29596,33548,-1.22,-0.66,-0.56,21.99%,26.74%,1651.81,480.06,18.43,7898.91
2013/6/21,102,103.5,101.5,103.5,105.1,106.1,107.8,107.02,39844,29324,34107,-1.43,-0.81,-0.62,22.50%,25.32%,1628.93,474.51,17.99,7793.31
