®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,RSIx6,RSIx12,BBand width,Band%EMA3,TaiwanAll
2016/9/6,77.5,78,76.7,78,76.54,74.6,71.32,66.42,4241,6291,8257,2.61,2.04,0.57,87.20%,83.98%,82.72%,72.69%,21.84%,20.47%,9181.85
2016/9/7,77.6,78.4,76.5,76.6,76.56,75.21,71.62,66.79,6802,5871,7674,2.65,2.16,0.48,83.36%,83.77%,65.46%,65.63%,22.65%,21.56%,9259.07
2016/9/8,76.6,79.7,76.5,79.2,77.3,76,72.3,67.19,12258,7146,8088,2.78,2.29,0.49,86.80%,84.78%,76.43%,71.28%,22.80%,22.18%,9262.89
2016/9/9,79.2,81.6,78,81.2,78.34,76.96,73.09,67.61,11875,8467,8585,2.99,2.43,0.57,89.55%,86.37%,81.77%,74.76%,23.23%,22.70%,9164.88
2016/9/10,80.1,80.7,79,80.5,79.1,77.67,73.66,68.02,5571,8149,8225,3.1,2.56,0.54,88.51%,87.08%,74.66%,71.45%,24.04%,23.37%,9053.69
2016/9/12,81.3,85.6,81,83.3,80.16,78.35,74.45,68.44,18762,11054,8672,3.4,2.73,0.67,86.00%,86.72%,82.12%,76.07%,25.08%,24.22%,8947.06
2016/9/13,84.5,85.5,79.6,79.8,80.8,78.68,75.07,68.8,27287,15151,10511,3.43,2.87,0.56,74.69%,82.71%,56.97%,62.32%,23.99%,24.11%,8940.83
2016/9/14,79,81.5,78.4,79,80.76,79.03,75.57,69.15,14837,15666,11406,3.28,2.95,0.32,58.95%,74.79%,52.55%,59.63%,23.09%,23.60%,8902.3
2016/9/19,79.9,84.9,79.9,84.9,81.5,79.92,76.39,69.59,18406,16973,12720,3.45,3.05,0.4,70.07%,73.22%,71.86%,70.03%,23.50%,23.55%,9152.88
2016/9/20,84.2,84.8,83.3,83.9,82.18,80.64,77.17,70.04,15099,18878,13514,3.58,3.16,0.42,73.82%,73.42%,66.36%,66.85%,22.69%,23.12%,9161.58
2016/9/21,83.2,83.6,81.4,83.6,82.24,81.2,77.9,70.46,17084,18543,14798,3.56,3.24,0.32,75.22%,74.02%,64.59%,65.87%,21.34%,22.23%,9228.5
2016/9/22,84.8,85,81,81,82.48,81.64,78.43,70.81,13482,15782,15466,3.42,3.27,0.15,63.30%,70.45%,50.52%,57.85%,19.58%,20.91%,9235.26
2016/9/23,81.4,81.5,79.1,79.8,82.64,81.7,78.85,71.15,14455,15705,15686,3.12,3.24,-0.12,48.68%,63.19%,45.08%,54.51%,17.66%,19.28%,9284.62
2016/9/26,79.9,80.7,79.2,80.5,81.76,81.63,79.3,71.51,6916,13407,15190,2.86,3.17,-0.31,42.18%,56.19%,48.93%,56.12%,15.49%,17.39%,9194.52
2016/9/29,80.4,81.2,78.9,79.2,80.82,81.5,79.59,71.86,9403,12268,15573,2.58,3.05,-0.47,31.87%,48.08%,42.32%,52.36%,13.86%,15.62%,9270.9
2016/9/30,79.2,82,78.5,81.5,80.4,81.32,79.84,72.22,9497,10751,14647,2.43,2.92,-0.5,36.91%,44.36%,55.18%,57.81%,13.49%,14.56%,9166.85
2016/10/3,82.3,83,80.5,80.6,80.32,81.4,80.04,72.56,7626,9579,12681,2.3,2.8,-0.5,35.37%,41.36%,49.95%,55.12%,12.92%,13.74%,9234.2
2016/10/4,80.6,82.5,80,82.5,80.86,81.75,80.39,72.94,8484,8385,12045,2.24,2.69,-0.45,44.10%,42.27%,59.64%,59.47%,12.02%,12.88%,9287.77
2016/10/5,82.5,83.1,81.8,82.1,81.18,81.47,80.7,73.31,7051,8412,10910,2.19,2.59,-0.4,47.86%,44.14%,56.86%,58.18%,11.00%,11.94%,9272.28
2016/10/6,82.5,82.6,81.2,82.5,81.84,81.33,80.99,73.59,4999,7531,9900,2.12,2.49,-0.37,52.42%,46.90%,59.14%,59.15%,10.13%,11.03%,9284.31
2016/10/7,82.5,82.6,81.4,82.5,82.04,81.22,81.21,73.85,3515,6335,8543,2.05,2.41,-0.35,63.93%,52.57%,59.14%,59.15%,9.63%,10.33%,9265.81
2016/10/11,83.5,83.8,79.6,82.5,82.42,81.37,81.51,74.07,10460,6902,8241,1.96,2.32,-0.36,67.78%,57.64%,59.14%,59.15%,8.15%,9.24%,9219.82
2016/10/12,81.7,81.9,80.9,80.9,82.1,81.48,81.59,74.28,4457,6096,7241,1.79,2.21,-0.42,60.28%,58.52%,43.29%,52.78%,7.75%,8.49%,9252.6
2016/10/13,80.9,81.2,79.7,80.4,81.76,81.47,81.55,74.49,6063,5899,7156,1.58,2.08,-0.51,52.14%,56.39%,39.34%,50.92%,7.85%,8.17%,9219.17
2016/10/14,79.8,81.9,79.8,81.3,81.52,81.68,81.59,74.67,7103,6320,6926,1.45,1.96,-0.51,48.25%,53.68%,49.33%,54.11%,7.76%,7.97%,9165.17
2016/10/17,81.7,83.4,80.8,83,81.62,81.83,81.58,74.9,9452,7507,6921,1.44,1.85,-0.41,59.15%,55.50%,63.11%,59.52%,7.69%,7.83%,9176.22
2016/10/18,83.4,83.6,81.8,82.5,81.62,82.02,81.71,75.15,8443,7104,7003,1.43,1.77,-0.34,62.45%,57.82%,57.58%,57.35%,7.47%,7.65%,9222.58
2016/10/19,82.3,82.8,81.7,82.8,82,82.05,81.9,75.39,4816,7175,6636,1.4,1.69,-0.3,67.03%,60.89%,60.10%,58.34%,6.88%,7.26%,9283.99
2016/10/20,83.3,84.8,82.7,83.1,82.54,82.15,81.81,75.62,9138,7790,6845,1.43,1.64,-0.22,67.12%,62.97%,62.75%,59.38%,6.18%,6.72%,9317.24
2016/10/21,83,83.3,81.3,81.5,82.58,82.05,81.69,75.85,11855,8741,7530,1.31,1.58,-0.26,56.93%,60.95%,44.03%,51.89%,5.73%,6.23%,9306.57
2016/10/24,81.9,83,81.8,82.8,82.54,82.08,81.65,76.11,4837,7818,7662,1.26,1.51,-0.25,58.21%,60.04%,56.64%,56.73%,5.47%,5.85%,9322.5
2016/10/25,83,89.5,82.9,87,83.44,82.53,81.95,76.43,20297,10189,8646,1.53,1.52,0.01,63.64%,61.24%,76.86%,68.05%,7.82%,6.83%,9385.65
2016/10/26,86.5,88.5,85.8,87.7,84.42,83.21,82.35,76.74,10034,11232,9204,1.79,1.57,0.22,69.57%,64.02%,78.83%,69.50%,9.51%,8.17%,9362.25
2016/10/27,87.9,90.7,87,90.1,85.82,84.18,82.83,77.09,12538,11912,9851,2.13,1.68,0.45,77.70%,68.58%,84.33%,73.93%,12.26%,10.21%,9299.55
2016/10/28,90.1,90.6,88.2,89.6,87.44,85.01,83.35,77.41,10850,11711,10226,2.38,1.82,0.56,81.23%,72.79%,79.19%,71.57%,13.41%,11.81%,9306.92
2016/10/31,89.6,90.9,88.3,90.9,89.06,85.8,83.82,77.79,5725,11889,9853,2.61,1.98,0.63,87.49%,77.69%,82.52%,73.93%,15.29%,13.55%,9290.12
2016/11/1,90.3,90.5,89,89,89.46,86.45,84.24,78.13,6215,9072,9631,2.68,2.12,0.56,85.06%,80.15%,64.45%,65.28%,15.69%,14.62%,9272.7
2016/11/2,87.4,87.8,84,84,88.72,86.57,84.31,78.39,11396,9345,10289,2.36,2.17,0.19,66.08%,75.46%,38.10%,48.87%,15.57%,15.10%,9139.04
2016/11/3,83.5,84.9,81.1,81.5,87,86.41,84.28,78.53,10280,8893,10403,1.87,2.11,-0.24,45.42%,65.44%,30.60%,42.98%,15.68%,15.39%,9067.27
2016/11/4,82.1,84.8,82,83.9,85.86,86.65,84.35,78.73,7930,8309,10010,1.57,2,-0.43,39.80%,56.90%,43.43%,49.37%,15.56%,15.47%,9068.15
2016/11/7,85,86,84.5,86,84.88,86.97,84.53,79.02,8581,8880,10385,1.48,1.89,-0.42,43.20%,52.33%,52.63%,54.27%,15.48%,15.47%,9189.84
2016/11/8,86.6,86.7,84.2,85.7,84.22,86.84,84.69,79.27,6080,8853,8963,1.38,1.79,-0.41,44.45%,49.70%,51.20%,53.46%,15.33%,15.40%,9217.43
