®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,RSIx6,RSIx12,BBand width,Band%EMA3,TaiwanAll
2014/12/30,34.75,34.75,34.15,34.2,34.49,34.04,34.32,35.54,2589,2929,3582,-0.22,-0.38,0.16,60.18%,56.85%,48.28%,47.68%,8.21%,8.44%,9268.43
2014/12/31,34.5,34.5,34.1,34.1,34.4,34.14,34.24,35.47,1194,2763,3304,-0.21,-0.35,0.14,55.62%,56.44%,44.78%,46.47%,7.15%,7.79%,9307.26
2015/1/5,34,34.55,34,34.5,34.38,34.28,34.18,35.42,1815,2245,2894,-0.19,-0.31,0.13,55.26%,56.05%,59.03%,51.81%,6.21%,7.00%,9274.11
2015/1/6,34.45,34.45,34,34.2,34.29,34.35,34.14,35.4,4347,2754,2991,-0.18,-0.29,0.11,47.59%,53.23%,47.90%,47.90%,5.71%,6.35%,9048.34
2015/1/7,34.3,34.35,34.05,34.1,34.22,34.37,34.11,35.35,1840,2357,2831,-0.18,-0.26,0.09,34.40%,46.95%,44.55%,46.62%,5.60%,5.97%,9080.09
2015/1/8,34.4,34.9,34.25,34.4,34.26,34.38,34.11,35.32,4381,2715,2822,-0.15,-0.24,0.09,33.60%,42.50%,55.72%,50.91%,5.60%,5.79%,9238.03
2015/1/9,34.85,34.85,34.2,34.3,34.3,34.35,34.12,35.29,2865,3050,2907,-0.13,-0.22,0.09,31.92%,38.97%,51.56%,49.47%,5.61%,5.70%,9215.58
2015/1/12,34.1,34.3,34,34,34.2,34.29,34.09,35.24,3073,3301,2773,-0.14,-0.2,0.06,21.28%,33.08%,40.65%,45.26%,5.44%,5.57%,9178.3
2015/1/13,34.3,34.35,34,34.1,34.18,34.24,34.07,35.18,1952,2822,2788,-0.14,-0.19,0.05,17.89%,28.02%,45.28%,46.90%,5.35%,5.46%,9231.8
2015/1/14,34.1,34.25,33.6,33.9,34.14,34.18,34.07,35.14,3202,3095,2726,-0.16,-0.18,0.03,19.62%,25.22%,38.14%,44.02%,5.32%,5.39%,9180.23
2015/1/15,34.1,34.7,33.95,34.2,34.1,34.18,34.11,35.09,5924,3403,3059,-0.14,-0.17,0.03,28.46%,26.30%,51.82%,49.13%,5.05%,5.22%,9165.09
2015/1/16,34.3,34.3,33.7,33.75,33.99,34.15,34.14,35.04,4111,3652,3351,-0.16,-0.17,0.01,22.82%,25.14%,37.06%,42.75%,4.46%,4.84%,9138.29
2015/1/19,34,34.1,33.3,33.35,33.86,34.03,34.16,34.99,2948,3627,3464,-0.2,-0.18,-0.02,16.26%,22.18%,28.43%,37.96%,4.00%,4.42%,9174.06
2015/1/20,33.4,33.6,33.3,33.35,33.71,33.95,34.15,34.95,3219,3881,3352,-0.24,-0.19,-0.05,11.88%,18.75%,28.43%,37.96%,4.18%,4.30%,9251.69
2015/1/21,33.5,33.75,33.4,33.55,33.64,33.89,34.13,34.91,2234,3687,3391,-0.25,-0.2,-0.05,13.30%,16.93%,38.71%,41.84%,4.42%,4.36%,9319.71
2015/1/22,33.6,34.4,33.6,34.35,33.67,33.89,34.13,34.86,4235,3349,3376,-0.21,-0.2,-0.01,33.86%,22.57%,63.72%,54.29%,4.42%,4.39%,9369.51
2015/1/23,34.7,34.75,34.15,34.35,33.79,33.89,34.12,34.82,4646,3456,3554,-0.16,-0.19,0.04,46.71%,30.62%,63.72%,54.29%,4.32%,4.35%,9470.94
2015/1/26,34.35,34.35,34,34.3,33.98,33.92,34.11,34.77,2889,3445,3536,-0.13,-0.18,0.05,54.13%,38.46%,61.47%,53.44%,4.15%,4.25%,9477.67
2015/1/27,34.5,34.6,34.1,34.2,34.15,33.93,34.08,34.69,3491,3499,3690,-0.1,-0.16,0.06,56.78%,44.56%,56.65%,51.67%,3.90%,4.08%,9521.59
2015/1/28,34.2,36.45,34.2,36.1,34.66,34.15,34.17,34.64,28757,8804,6245,0.04,-0.12,0.16,67.48%,52.20%,84.44%,71.33%,6.42%,5.25%,9510.92
2015/1/29,36.1,36.25,35.55,35.8,34.95,34.31,34.25,34.6,11513,10259,6804,0.16,-0.07,0.22,71.44%,58.62%,75.30%,66.66%,7.64%,6.44%,9426.9
2015/1/30,36,36.1,35.4,35.4,35.16,34.48,34.31,34.56,6761,10682,7069,0.22,-0.01,0.23,69.85%,62.36%,64.17%,60.86%,8.15%,7.30%,9361.91
2015/2/2,35.25,35.7,34.6,34.75,35.25,34.62,34.32,34.5,6466,11398,7421,0.23,0.04,0.19,61.32%,62.01%,49.82%,52.73%,8.21%,7.76%,9386.99
2015/2/3,34.75,36.7,34.7,36.2,35.65,34.9,34.42,34.46,15151,13730,8614,0.3,0.09,0.21,68.84%,64.29%,68.61%,64.33%,9.46%,8.61%,9448.73
2015/2/4,36.7,37.55,36.4,36.45,35.72,35.19,34.54,34.42,20181,12014,10409,0.42,0.16,0.27,68.90%,65.82%,70.87%,65.90%,10.67%,9.64%,9513.92
2015/2/5,36.5,36.85,36.2,36.35,35.83,35.39,34.64,34.4,5358,10783,10521,0.49,0.22,0.27,68.00%,66.55%,68.51%,64.66%,11.56%,10.60%,9512.05
2015/2/6,36.7,38.3,36.6,37.1,36.17,35.67,34.78,34.41,18329,13097,11890,0.6,0.3,0.3,69.14%,67.41%,75.78%,69.39%,13.01%,11.81%,9456.18
2015/2/9,37.3,38.4,37.3,37.85,36.79,36.02,34.97,34.43,13259,14456,12927,0.73,0.39,0.34,75.06%,69.96%,81.03%,73.29%,14.85%,13.33%,9421.5
2015/2/10,38.15,38.15,37.35,37.95,37.14,36.4,35.16,34.47,8217,13069,13399,0.82,0.47,0.35,79.43%,73.12%,81.67%,73.77%,16.30%,14.81%,9393.7
2015/2/11,38.4,38.9,38.2,38.35,37.52,36.62,35.39,34.55,10226,11078,11546,0.93,0.56,0.37,82.02%,76.09%,84.21%,75.70%,17.63%,16.22%,9462.22
2015/2/12,38.6,38.85,38.3,38.5,37.95,36.89,35.6,34.63,4774,10961,10872,1.02,0.65,0.36,84.91%,79.03%,85.14%,76.41%,18.81%,17.51%,9496.31
2015/2/13,38.55,38.8,38.1,38.25,38.18,37.18,35.83,34.7,6443,8584,10840,1.05,0.73,0.32,84.78%,80.95%,76.19%,72.56%,19.11%,18.31%,9529.51
2015/2/24,39,39.65,38.5,38.7,38.35,37.57,36.09,34.77,7795,7491,10973,1.11,0.81,0.3,80.68%,80.86%,80.60%,75.03%,19.09%,18.70%,9629.37
2015/2/25,38.7,39,38.1,38.25,38.41,37.78,36.34,34.84,5976,7043,10056,1.11,0.87,0.24,73.59%,78.43%,65.95%,68.32%,18.30%,18.50%,9699.54
2015/2/26,38.25,38.25,37.7,38,38.34,37.93,36.56,34.92,4018,5801,8440,1.06,0.91,0.15,64.36%,73.74%,58.82%,64.80%,17.17%,17.83%,9622.1
2015/3/2,38.1,39,38.1,38.5,38.34,38.15,36.77,35,3909,5628,8295,1.05,0.94,0.12,59.93%,69.14%,67.30%,68.35%,16.73%,17.28%,9601.36
2015/3/3,38.6,38.6,37,37.3,38.15,38.17,36.92,35.06,8383,6016,7300,0.96,0.94,0.02,43.73%,60.67%,42.25%,54.07%,15.57%,16.42%,9605.77
2015/3/4,37.2,37.65,37.05,37.25,37.86,38.11,37.06,35.12,3718,5201,6346,0.85,0.92,-0.07,32.30%,51.21%,41.47%,53.56%,14.10%,15.26%,9621.73
2015/3/5,37.5,37.6,37.15,37.3,37.67,38.04,37.22,35.18,2425,4491,5767,0.76,0.89,-0.13,25.30%,42.57%,42.73%,54.03%,12.14%,13.70%,9595.09
2015/3/6,37.3,37.7,37.3,37.55,37.58,37.96,37.29,35.26,2506,4188,4995,0.7,0.85,-0.15,23.79%,36.31%,49.26%,56.44%,11.81%,12.76%,9645.77
2015/3/9,37.55,38.45,37.35,38.3,37.54,37.94,37.42,35.33,4359,4278,4953,0.69,0.82,-0.13,32.21%,34.95%,64.03%,62.83%,11.40%,12.08%,9562.98
2015/3/10,38,38,37.05,37.1,37.5,37.83,37.5,35.35,5726,3747,4882,0.61,0.78,-0.17,23.14%,31.01%,41.07%,50.03%,10.30%,11.19%,9536.53
2015/3/11,36.85,36.9,36.3,36.7,37.39,37.63,37.6,35.37,5230,4049,4625,0.49,0.72,-0.23,20.37%,27.46%,35.92%,46.57%,8.08%,9.63%,9523.18
2015/3/12,36.7,37.15,36.45,36.7,37.27,37.47,37.62,35.39,2952,4155,4323,0.39,0.65,-0.26,18.52%,24.48%,35.92%,46.57%,7.66%,8.64%,9596
2015/3/13,37,37.15,36.85,36.9,37.14,37.36,37.65,35.43,2379,4129,4159,0.33,0.59,-0.26,21.04%,23.33%,41.23%,48.68%,7.33%,7.99%,9579.35
2015/3/16,37,37.35,36.85,36.85,36.85,37.2,37.67,35.47,2785,3814,4046,0.28,0.53,-0.25,22.55%,23.07%,40.23%,48.16%,6.90%,7.44%,9512.91
2015/3/17,36.9,37.3,36.6,36.6,36.75,37.13,37.65,35.51,2007,3071,3409,0.22,0.47,-0.24,19.69%,21.94%,35.12%,45.52%,7.23%,7.34%,9539.44
2015/3/18,36.6,36.95,36.45,36.5,36.71,37.05,37.58,35.54,3202,2665,3357,0.16,0.4,-0.25,16.23%,20.04%,33.10%,44.46%,7.69%,7.51%,9653.43
2015/3/19,36.6,37.65,36.6,37.55,36.88,37.08,37.56,35.6,8470,3769,3962,0.17,0.36,-0.19,30.20%,23.42%,61.20%,56.19%,7.64%,7.58%,9736.73
2015/3/20,37.55,37.65,36.9,36.9,36.88,37.01,37.49,35.65,7372,4767,4448,0.15,0.32,-0.16,31.90%,26.25%,46.64%,49.17%,7.54%,7.56%,9749.69
2015/3/23,37.25,37.3,36.95,37,36.91,36.88,37.41,35.71,2190,4648,4231,0.14,0.28,-0.14,38.55%,30.35%,48.89%,50.22%,7.21%,7.38%,9758.09
2015/3/24,37.2,37.45,36.7,37.25,37.04,36.9,37.36,35.78,3201,4887,3979,0.13,0.25,-0.12,47.92%,36.21%,54.61%,52.86%,6.92%,7.15%,9731.66
2015/3/25,37.1,37.25,36.7,36.75,37.09,36.9,37.26,35.84,2549,4756,3711,0.1,0.22,-0.12,40.28%,37.56%,43.04%,47.38%,6.23%,6.69%,9667.83
2015/3/26,36.25,37.5,36.25,37,36.98,36.93,37.2,35.9,3133,3689,3729,0.08,0.19,-0.11,44.71%,39.95%,49.47%,50.19%,5.77%,6.23%,9619.12
2015/3/27,37.3,37.4,36.85,36.85,36.97,36.93,37.14,35.94,1932,2601,3684,0.07,0.17,-0.1,44.09%,41.33%,45.75%,48.49%,5.48%,5.85%,9503.72
2015/3/30,36.85,37.65,36.7,37,36.97,36.94,37.07,35.99,3832,2929,3789,0.07,0.15,-0.08,47.25%,43.30%,50.24%,50.33%,4.34%,5.10%,9521.87
2015/3/31,37.3,37.45,36.95,37.15,36.95,37,37.06,36.03,2197,2729,3808,0.07,0.13,-0.06,52.93%,46.51%,54.73%,52.19%,4.31%,4.70%,9586.44
2015/4/1,37.15,37.15,36.65,36.7,36.94,37.02,37.03,36.07,1832,2585,3671,0.05,0.11,-0.07,46.00%,46.34%,41.31%,46.50%,4.37%,4.53%,9507.66
2015/4/2,36.9,36.95,36.3,36.3,36.8,36.89,36.98,36.09,5809,3120,3405,0,0.09,-0.09,31.86%,41.51%,32.74%,42.05%,4.64%,4.59%,9600.32
2015/4/7,36.3,36.5,35.3,35.7,36.57,36.77,36.89,36.12,6578,4050,3325,-0.09,0.05,-0.15,26.91%,36.65%,23.84%,36.36%,5.33%,4.96%,9641.9
2015/4/8,35.5,35.9,35.25,35.25,36.22,36.6,36.74,36.13,2158,3715,3322,-0.2,0,-0.2,17.94%,30.41%,19.16%,32.74%,5.48%,5.22%,9571.97
2015/4/9,35.7,35.7,35.05,35.1,35.81,36.38,36.64,36.15,1851,3646,3187,-0.29,-0.05,-0.23,12.60%,24.48%,17.76%,31.59%,6.65%,5.93%,9568.04
2015/4/10,35.1,35.35,34,34.25,35.32,36.13,36.52,36.15,5111,4301,3443,-0.42,-0.13,-0.29,10.68%,19.88%,11.87%,25.98%,8.77%,7.35%,9617.7
2015/4/13,34.3,35.1,34.3,34.95,35.05,35.93,36.43,36.16,3512,3842,3481,-0.48,-0.2,-0.29,15.80%,18.52%,33.61%,36.17%,9.53%,8.44%,9666.52
2015/4/14,34.95,35.15,34.8,35.1,34.93,35.75,36.34,36.17,1440,2814,3432,-0.51,-0.26,-0.25,21.16%,19.40%,37.57%,38.16%,9.98%,9.21%,9642.22
2015/4/15,35,35.5,35,35.2,34.92,35.57,36.26,36.19,2601,2903,3309,-0.52,-0.31,-0.21,26.81%,21.87%,40.42%,39.53%,10.28%,9.74%,9540.06
2015/4/16,35.4,35.6,35.25,35.35,34.97,35.39,36.19,36.21,1496,2832,3239,-0.5,-0.35,-0.15,33.12%,25.62%,44.93%,41.65%,10.48%,10.11%,9656.87
2015/4/17,35.2,35.3,35.1,35.15,35.15,35.24,36.13,36.22,1088,2027,3164,-0.5,-0.38,-0.12,37.42%,29.55%,40.07%,39.63%,10.76%,10.43%,9570.93
2015/4/20,35.1,35.1,34.25,34.55,35.07,35.06,35.98,36.23,1954,1716,2779,-0.54,-0.41,-0.13,34.59%,31.23%,28.85%,34.21%,10.80%,10.62%,9552.85
2015/4/21,34.5,34.85,34.1,34.15,34.88,34.91,35.84,36.24,2132,1854,2334,-0.59,-0.45,-0.14,26.00%,29.49%,23.56%,31.11%,11.43%,11.02%,9533.98
2015/4/22,34.2,34.75,34.15,34.5,34.74,34.83,35.71,36.24,1843,1703,2303,-0.6,-0.48,-0.13,27.75%,28.91%,35.89%,36.59%,11.50%,11.26%,9613
2015/4/23,34.5,35.5,34.45,35.5,34.77,34.87,35.63,36.27,2865,1976,2404,-0.55,-0.49,-0.06,49.61%,35.81%,58.72%,49.19%,10.83%,11.05%,9797.49
2015/4/24,35.6,36.6,35.6,36,34.94,35.05,35.59,36.31,7874,3334,2681,-0.44,-0.48,0.04,58.41%,43.34%,65.98%,54.16%,10.50%,10.78%,9913.28
2015/4/27,36.35,37.2,36.05,36.75,35.38,35.23,35.58,36.37,8164,4576,3146,-0.29,-0.44,0.15,67.43%,51.37%,74.17%,60.48%,10.31%,10.54%,9973.12
2015/4/28,37.15,37.15,36.5,36.75,35.9,35.39,35.57,36.42,5527,5255,3554,-0.17,-0.39,0.22,73.45%,58.73%,74.17%,60.48%,10.24%,10.39%,9956.83
2015/4/29,36.85,36.9,35.8,36.1,36.22,35.48,35.53,36.45,3408,5568,3635,-0.11,-0.33,0.22,70.47%,62.65%,57.04%,52.95%,9.68%,10.03%,9853.83
2015/4/30,36.2,36.7,36.2,36.7,36.46,35.62,35.5,36.49,3436,5682,3829,-0.04,-0.27,0.23,74.94%,66.74%,65.79%,58.19%,9.26%,9.65%,9820.05
2015/5/4,37,37.2,36.45,36.65,36.59,35.77,35.5,36.53,8175,5742,4538,0.03,-0.21,0.24,77.38%,70.29%,64.48%,57.61%,9.22%,9.43%,9845.04
2015/5/5,36.7,37.1,36.6,37,36.64,36.01,35.54,36.58,5464,5202,4889,0.1,-0.15,0.25,82.73%,74.44%,69.58%,60.62%,9.74%,9.58%,9820.13
2015/5/6,36.9,37.2,36.65,37.15,36.72,36.31,35.61,36.6,6067,5310,5282,0.16,-0.09,0.25,87.88%,78.92%,71.67%,61.89%,10.49%,10.04%,9818.2
2015/5/7,37.1,37.15,36.2,36.2,36.74,36.48,35.66,36.6,4673,5563,5565,0.16,-0.04,0.2,71.09%,76.31%,47.07%,50.63%,10.53%,10.28%,9704.11
2015/5/8,36.25,36.5,35.1,35.1,36.42,36.44,35.66,36.6,6030,6082,5882,0.08,-0.02,0.09,47.39%,66.67%,31.87%,41.17%,10.53%,10.41%,9692
2015/5/11,35,35.1,32.7,33.65,35.82,36.21,35.63,36.58,8281,6103,5923,-0.12,-0.04,-0.08,38.63%,57.32%,21.09%,32.45%,11.13%,10.77%,9663.72
2015/5/12,33.55,33.9,32.4,32.9,35,35.82,35.52,36.52,8215,6653,5928,-0.33,-0.1,-0.24,29.23%,47.96%,17.43%,28.98%,12.94%,11.85%,9680.73
2015/5/13,32.95,33.8,32.95,33.75,34.32,35.52,35.46,36.48,4790,6398,5854,-0.45,-0.17,-0.29,28.86%,41.59%,33.19%,37.27%,13.65%,12.75%,9724.11
2015/5/14,34.65,35.35,34.2,34.7,34.02,35.38,35.43,36.45,10975,7658,6611,-0.45,-0.22,-0.23,35.21%,39.47%,46.81%,45.07%,13.78%,13.26%,9610.83
2015/5/15,35.1,35.7,35.05,35.05,34.01,35.22,35.42,36.42,8960,8244,7163,-0.4,-0.26,-0.14,41.88%,40.27%,51.21%,47.69%,13.81%,13.54%,9579.48
2015/5/18,35.25,35.4,34.5,34.7,34.22,35.02,35.39,36.37,4631,7514,6809,-0.39,-0.29,-0.11,43.89%,41.48%,46.59%,45.33%,13.92%,13.73%,9606.1
2015/5/19,35.1,36,34.85,35.65,34.77,34.89,35.45,36.33,6548,7181,6917,-0.32,-0.29,-0.03,52.07%,45.01%,58.72%,52.31%,13.74%,13.73%,9716.77
2015/5/20,35.55,35.6,35.05,35.15,35.05,34.69,35.5,36.27,5568,7336,6867,-0.29,-0.29,0,57.07%,49.03%,51.35%,48.74%,13.33%,13.53%,9685.31
2015/5/21,34.9,34.9,34.2,34.55,35.02,34.52,35.5,36.21,4915,6124,6891,-0.32,-0.3,-0.02,57.95%,52.00%,43.49%,44.74%,13.31%,13.42%,9578.56
2015/5/22,34.55,35,34.45,34.55,34.92,34.47,35.45,36.15,2805,4893,6569,-0.32,-0.3,-0.02,58.54%,54.18%,43.49%,44.74%,13.53%,13.47%,9638.8
2015/5/25,34.55,34.55,33.8,34.15,34.81,34.52,35.36,36.07,3846,4736,6125,-0.37,-0.32,-0.05,52.14%,53.50%,37.92%,42.01%,13.85%,13.66%,9645.17
2015/5/26,34.2,34.5,34.1,34.4,34.56,34.67,35.24,36.01,2128,3852,5517,-0.38,-0.33,-0.05,43.85%,50.29%,43.36%,44.33%,13.59%,13.63%,9669.41
2015/5/27,34.3,34.4,34,34.25,34.38,34.72,35.12,35.94,2420,3223,5280,-0.39,-0.34,-0.05,36.05%,45.54%,40.79%,43.20%,13.26%,13.44%,9693.54
2015/5/28,34.3,36.1,34.3,35.45,34.56,34.79,35.09,35.89,7914,3823,4974,-0.32,-0.34,0.02,47.95%,46.34%,62.28%,53.54%,13.05%,13.25%,9712.84
2015/5/29,35.25,35.4,34.9,34.95,34.64,34.78,35,35.85,3774,4016,4455,-0.27,-0.32,0.05,48.63%,47.11%,52.72%,49.45%,12.38%,12.81%,9701.07
2015/6/1,34.8,36.25,34.55,35.5,34.91,34.86,34.94,35.82,7461,4739,4738,-0.2,-0.3,0.1,55.55%,49.92%,60.69%,53.70%,11.71%,12.26%,9625.69
2015/6/2,35.5,35.75,35,35,35.03,34.8,34.84,35.79,4005,5115,4484,-0.17,-0.27,0.11,53.36%,51.07%,51.26%,49.56%,10.42%,11.34%,9614.26
2015/6/3,35.2,35.2,34.7,34.7,35.12,34.75,34.72,35.74,3760,5383,4303,-0.16,-0.25,0.09,47.82%,49.98%,46.10%,47.19%,8.49%,9.92%,9556.52
2015/6/4,34.7,35.1,34,34.1,34.85,34.71,34.61,35.67,4014,4603,4213,-0.2,-0.24,0.04,35.96%,45.31%,37.14%,42.72%,7.68%,8.80%,9348.63
2015/6/5,34.1,34.15,33.4,33.75,34.61,34.63,34.55,35.61,5290,4906,4461,-0.27,-0.25,-0.03,28.07%,39.56%,32.69%,40.29%,7.87%,8.34%,9340.13
2015/6/8,34,34.15,33.4,33.8,34.27,34.59,34.55,35.56,2199,3854,4297,-0.32,-0.26,-0.06,23.39%,34.17%,34.04%,40.82%,7.77%,8.05%,9368.43
2015/6/9,33.8,33.8,32.6,32.65,33.8,34.42,34.54,35.5,3943,3841,4478,-0.43,-0.3,-0.13,16.05%,28.13%,21.88%,33.45%,8.14%,8.10%,9191.87
2015/6/10,32.65,33.4,32.5,32.6,33.38,34.25,34.48,35.43,4284,3946,4664,-0.52,-0.34,-0.18,11.59%,22.62%,21.48%,33.16%,9.34%,8.72%,9298.5
2015/6/11,32.8,33,31.4,31.7,32.9,33.88,34.33,35.34,5307,4205,4404,-0.65,-0.4,-0.25,9.79%,18.34%,15.40%,28.43%,11.71%,10.21%,9302.49
2015/6/12,31.4,31.6,30.55,31.05,32.36,33.49,34.13,35.25,7743,4695,4801,-0.81,-0.48,-0.33,9.73%,15.47%,12.36%,25.55%,14.27%,12.24%,9301.93
2015/6/15,30.85,32.3,30.8,32.1,32.02,33.15,34,35.17,3793,5014,4434,-0.87,-0.56,-0.31,17.60%,16.18%,36.59%,36.82%,15.14%,13.69%,9259.48
2015/6/16,32.2,32.4,31.5,31.7,31.83,32.82,33.81,35.08,2009,4627,4234,-0.91,-0.63,-0.28,20.16%,17.51%,32.48%,34.64%,15.64%,14.67%,9212.78
2015/6/17,31.7,32.15,31.65,31.85,31.68,32.53,33.64,34.99,2319,4234,4090,-0.92,-0.69,-0.23,25.47%,20.16%,35.73%,36.18%,16.04%,15.36%,9189.83
2015/6/18,32.3,33,31.9,32.95,31.93,32.42,33.56,34.92,3808,3934,4070,-0.86,-0.72,-0.13,39.21%,26.51%,54.83%,46.33%,15.98%,15.67%,9218.37
2015/6/22,33.2,33.45,32.7,32.8,32.28,32.32,33.47,34.85,3003,2986,3841,-0.78,-0.74,-0.04,49.21%,34.08%,52.29%,45.26%,15.89%,15.78%,9341.77
2015/6/23,33,33.1,32.55,32.55,32.37,32.2,33.39,34.78,2415,2711,3862,-0.73,-0.73,0.01,55.80%,41.32%,47.85%,43.43%,15.99%,15.88%,9391.14
2015/6/24,32.6,32.75,31.75,31.8,32.39,32.11,33.26,34.69,3941,3097,3862,-0.73,-0.73,0,51.57%,44.73%,36.65%,38.37%,16.32%,16.10%,9397.31
2015/6/25,32,32.3,31.8,31.85,32.39,32.04,33.14,34.61,2782,3190,3712,-0.73,-0.73,0,49.32%,46.26%,37.81%,38.89%,16.54%,16.32%,9476.34
2015/6/26,31.9,32.3,31.9,32,32.2,32.07,32.97,34.53,1490,2726,3330,-0.72,-0.73,0.01,47.97%,46.83%,41.67%,40.53%,15.57%,15.94%,9462.57
2015/6/29,31.5,31.6,31.2,31.25,31.89,32.09,32.79,34.43,2467,2619,2803,-0.75,-0.74,-0.02,32.72%,42.13%,30.37%,35.36%,15.26%,15.60%,9236.1
2015/6/30,31.1,31.4,31.1,31.2,31.62,32,32.57,34.34,2723,2681,2696,-0.78,-0.74,-0.04,23.23%,35.83%,29.72%,35.04%,13.87%,14.74%,9323.02
2015/7/1,31.35,31.4,31.05,31.2,31.5,31.95,32.38,34.25,3652,2623,2860,-0.8,-0.76,-0.04,17.57%,29.75%,29.72%,35.04%,12.59%,13.66%,9375.23
2015/7/2,31.3,31.8,31.1,31.45,31.42,31.91,32.22,34.18,3379,2742,2966,-0.78,-0.76,-0.02,17.27%,25.59%,39.05%,38.40%,11.01%,12.33%,9379.24
2015/7/3,31.6,31.6,31.1,31.45,31.31,31.76,32.09,34.12,2736,2991,2859,-0.76,-0.76,0,18.02%,23.06%,39.05%,38.40%,9.82%,11.08%,9358.23
2015/7/6,31.2,31.7,31.2,31.25,31.31,31.6,31.96,34.05,1604,2819,2719,-0.74,-0.76,0.01,15.93%,20.69%,33.87%,36.60%,8.86%,9.97%,9255.96
2015/7/7,31.25,31.6,31,31.1,31.29,31.46,31.83,34,2715,2817,2749,-0.73,-0.75,0.02,13.19%,18.19%,30.26%,35.24%,7.44%,8.71%,9250.16
2015/7/8,31,31,29.85,29.95,31.04,31.27,31.69,33.92,6346,3356,2989,-0.8,-0.76,-0.04,10.15%,15.51%,15.28%,26.91%,8.69%,8.70%,8976.11
2015/7/9,29.2,30,28.85,29.5,30.65,31.04,31.54,33.82,4476,3575,3159,-0.9,-0.79,-0.11,14.11%,15.04%,12.39%,24.44%,10.21%,9.46%,8914.13
2015/7/13,30.3,30.75,30.1,30.5,30.46,30.89,31.48,33.75,3679,3764,3378,-0.88,-0.81,-0.08,28.05%,19.38%,41.71%,38.18%,10.61%,10.03%,9033.92
2015/7/14,30.95,31.7,30.8,31.25,30.46,30.89,31.49,33.68,7325,4908,3864,-0.8,-0.81,0.01,45.82%,28.19%,55.21%,46.19%,10.56%,10.30%,9041.76
2015/7/15,31.5,31.5,30.5,30.6,30.36,30.83,31.41,33.6,2466,4858,3838,-0.76,-0.8,0.04,50.32%,35.57%,44.49%,41.15%,10.69%,10.49%,9054.2
2015/7/16,30.8,31.2,30.6,31.2,30.61,30.83,31.39,33.55,1612,3912,3634,-0.7,-0.78,0.08,61.03%,44.06%,54.31%,46.98%,10.68%,10.59%,9042.21
2015/7/17,31.25,31.35,30.9,31,30.91,30.78,31.34,33.49,1993,3415,3495,-0.65,-0.75,0.1,65.83%,51.32%,50.72%,45.34%,10.66%,10.62%,9045.98
2015/7/20,31.3,31.3,30.2,30.4,30.89,30.68,31.22,33.43,2507,3181,3472,-0.64,-0.73,0.09,62.02%,54.88%,40.98%,40.71%,9.90%,10.26%,8975
2015/7/21,30.4,30.4,29.85,30.1,30.66,30.56,31.08,33.34,2789,2273,3591,-0.66,-0.72,0.06,55.97%,55.24%,36.74%,38.57%,9.23%,9.75%,9005.96
2015/7/22,30,30.05,29.25,29.6,30.46,30.41,30.93,33.23,3214,2423,3641,-0.71,-0.71,0.01,46.08%,52.19%,30.44%,35.19%,9.09%,9.42%,8918.7
2015/7/23,29.4,29.75,29.15,29.4,30.1,30.36,30.81,33.11,2490,2599,3255,-0.75,-0.72,-0.03,33.99%,46.12%,28.13%,33.90%,9.71%,9.57%,8791.12
2015/7/24,29.5,29.5,28.5,28.6,29.62,30.27,30.65,32.97,3938,2988,3201,-0.83,-0.74,-0.09,23.70%,38.65%,20.61%,29.21%,11.11%,10.34%,8767.86
2015/7/27,28.55,28.6,27.6,27.95,29.13,30.01,30.45,32.83,4694,3425,3303,-0.94,-0.78,-0.16,18.79%,32.03%,16.35%,26.02%,12.85%,11.59%,8556.68
2015/7/28,27.8,28.9,27.75,28.85,28.88,29.77,30.33,32.7,3030,3473,2873,-0.97,-0.82,-0.15,23.64%,29.23%,37.74%,36.49%,13.44%,12.51%,8582.49
2015/7/29,28.85,28.85,28.2,28.4,28.64,29.55,30.19,32.57,1785,3187,2805,-1,-0.86,-0.14,22.87%,27.11%,32.72%,33.88%,14.31%,13.41%,8563.48
2015/7/30,28.75,28.9,28.5,28.75,28.51,29.31,30.07,32.43,3891,3468,3033,-0.98,-0.88,-0.1,25.61%,26.61%,40.15%,37.67%,14.59%,14.00%,8651.49
2015/7/31,29,29.15,28.8,29,28.59,29.11,29.94,32.29,2768,3234,3111,-0.94,-0.89,-0.05,33.74%,28.99%,45.32%,40.34%,14.32%,14.16%,8665.34
2015/8/3,28.95,28.95,28.4,28.65,28.73,28.93,29.8,32.17,2589,2813,3119,-0.92,-0.9,-0.02,36.78%,31.58%,39.57%,37.86%,14.07%,14.11%,8524.41
2015/8/4,28.6,28.85,28.45,28.65,28.69,28.79,29.67,32.06,3341,2875,3174,-0.9,-0.9,0,40.80%,34.66%,39.57%,37.86%,13.77%,13.94%,8510.86
2015/8/5,28.7,28.9,28.45,28.5,28.71,28.68,29.54,31.97,2559,3030,3109,-0.88,-0.89,0.02,42.99%,37.43%,36.70%,36.71%,13.50%,13.72%,8542.27
2015/8/6,28.75,28.75,28.05,28.1,28.58,28.55,29.45,31.89,2132,2678,3073,-0.87,-0.89,0.02,39.41%,38.09%,29.78%,33.74%,14.12%,13.92%,8449.56
