®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3,TaiwnaAll
2017/8/18,34.7,35.85,34.7,34.95,35.57,36.12,35.98,29.2,555,858,1437,0.94,1.45,-0.51,29.76%,35.96%,42.27%,49.25%,16.33%,17.10%,10506.56
2017/8/21,34.45,35.35,32.25,33.5,35.07,35.47,35.74,29.47,1045,742,1112,0.7,1.3,-0.6,26.01%,32.64%,32.58%,44.42%,16.36%,16.73%,10579.38
2017/8/22,33.5,34.45,33.3,33.5,34.49,35.15,35.53,29.76,632,709,885,0.5,1.14,-0.64,23.51%,29.60%,32.58%,44.42%,16.47%,16.60%,10568.97
2017/8/23,33.85,34,32.5,32.85,34.04,34.9,35.39,30.02,747,740,871,0.3,0.97,-0.68,18.64%,25.95%,28.38%,42.21%,17.80%,17.20%,10470.38
2017/8/24,32.9,35.5,31.8,34.65,33.89,34.87,35.33,30.32,1014,799,879,0.22,0.82,-0.61,25.62%,25.84%,49.85%,49.76%,17.85%,17.53%,10329.74
2017/8/25,34.3,35,33.6,34,33.7,34.64,35.33,30.6,525,793,826,0.15,0.69,-0.54,30.54%,27.40%,44.12%,47.32%,17.85%,17.69%,10329.57
2017/8/28,34,35,34,34.1,33.82,34.45,35.38,30.88,318,647,695,0.11,0.57,-0.46,36.67%,30.49%,45.28%,47.75%,17.10%,17.39%,10225.28
2017/8/29,34.1,34.1,33.6,33.75,33.87,34.18,35.25,31.15,305,582,645,0.04,0.47,-0.43,39.22%,33.40%,41.65%,46.31%,17.44%,17.41%,10311.16
2017/8/30,33.3,35.3,33.3,34.15,34.13,34.09,35.2,31.44,502,533,636,0.01,0.38,-0.36,45.49%,37.43%,47.44%,48.26%,17.67%,17.54%,10290.39
2017/8/31,34.15,35.8,34.15,35.1,34.22,34.06,35.16,31.71,785,487,643,0.06,0.31,-0.25,57.83%,44.23%,59.02%,52.70%,17.59%,17.57%,10369.37
2017/9/1,35.85,35.85,34.7,35.05,34.43,34.07,35.09,31.96,516,485,639,0.11,0.27,-0.17,65.30%,51.25%,58.21%,52.44%,17.32%,17.44%,10321.33
2017/9/4,34.75,35.5,34.1,35.4,34.69,34.26,34.86,32.21,452,512,580,0.14,0.24,-0.11,73.16%,58.56%,62.53%,54.16%,11.79%,14.61%,10326.39
2017/9/5,35.4,35.5,34.5,34.6,34.86,34.37,34.76,32.47,666,584,583,0.13,0.22,-0.09,71.82%,62.98%,48.72%,49.68%,10.78%,12.70%,10392.07
2017/9/6,34,34.25,32.1,33.2,34.67,34.4,34.65,32.7,918,667,600,0,0.18,-0.18,57.66%,61.20%,33.28%,42.92%,11.37%,12.03%,10406.81
2017/9/7,32.4,33.7,32.4,32.5,34.15,34.19,34.53,32.93,491,609,548,-0.14,0.11,-0.25,41.99%,54.80%,27.96%,39.95%,12.60%,12.32%,10488.96
2017/9/8,32.5,33.8,32.5,33.6,33.86,34.15,34.39,33.17,335,572,529,-0.19,0.05,-0.25,41.33%,50.31%,44.64%,46.31%,11.87%,12.09%,10515.51
2017/9/11,36.95,36.95,35.3,35.4,33.86,34.28,34.36,33.44,1361,754,633,-0.05,0.03,-0.08,50.23%,50.28%,61.94%,54.85%,11.41%,11.75%,10525.98
2017/9/12,34.95,35,33.9,34.8,33.9,34.38,34.28,33.69,843,790,687,-0.02,0.02,-0.04,52.05%,50.87%,55.06%,51.85%,10.15%,10.95%,10496.57
2017/9/13,34.7,35,33.7,33.8,34.02,34.35,34.22,33.92,630,732,700,-0.04,0.01,-0.05,46.38%,49.37%,45.05%,47.17%,9.99%,10.47%,10569.4
2017/9/14,33.6,33.8,32.3,33.6,34.24,34.2,34.13,34.15,481,730,669,-0.12,-0.02,-0.1,41.23%,46.66%,43.16%,46.25%,9.60%,10.03%,10585.78
2017/9/15,31.5,31.5,30.25,30.35,33.59,33.73,33.9,34.32,2095,1082,827,-0.4,-0.09,-0.3,27.98%,40.43%,23.78%,34.44%,13.44%,11.73%,10594.82
2017/9/18,30,30,28,29,32.31,33.09,33.67,34.43,764,963,858,-0.74,-0.22,-0.52,22.38%,34.42%,19.43%,30.87%,18.54%,15.14%,10569.87
2017/9/19,28.9,30.5,28.9,29.2,31.19,32.55,33.46,34.51,439,882,836,-0.96,-0.37,-0.59,19.39%,29.41%,21.96%,32.01%,22.00%,18.57%,10617.84
2017/9/20,29.2,29.25,28.3,28.35,30.1,32.06,33.23,34.54,319,820,776,-1.19,-0.53,-0.66,14.23%,24.35%,18.92%,29.73%,25.88%,22.22%,10547.86
2017/9/21,28.25,29,28.25,28.6,29.1,31.67,32.93,34.53,161,756,743,-1.36,-0.7,-0.66,11.72%,20.14%,22.70%,31.30%,28.49%,25.36%,10538.51
2017/9/22,28.8,29,28.3,28.3,28.69,31.14,32.64,34.46,211,379,730,-1.49,-0.86,-0.63,9.24%,16.51%,21.27%,30.41%,31.08%,28.22%,10609.95
2017/9/25,28.3,28.3,25.85,27.1,28.31,30.31,32.29,34.33,416,309,636,-1.68,-1.02,-0.66,10.72%,14.58%,16.34%,27.07%,34.46%,31.34%,10572.16
2017/9/26,27.2,28.3,27.2,27.95,28.06,29.63,32,34.24,328,287,584,-1.75,-1.17,-0.58,15.95%,15.03%,30.11%,32.78%,36.42%,33.88%,10610.35
2017/9/27,28.05,29.4,28,29.3,28.25,29.18,31.76,34.2,259,275,547,-1.69,-1.27,-0.42,30.99%,20.35%,46.80%,40.82%,36.87%,35.37%,10532.88
2017/9/28,29.6,30.35,29.6,30.1,28.55,28.83,31.51,34.14,491,341,548,-1.55,-1.33,-0.22,51.12%,30.61%,54.52%,45.06%,36.10%,35.74%,10553.57
2017/9/29,30.15,30.15,29.5,30.1,28.91,28.8,31.26,34.06,241,347,363,-1.42,-1.34,-0.07,64.55%,41.92%,54.52%,45.06%,35.03%,35.38%,10580.41
2017/9/30,30.15,32,30.15,31.8,29.85,29.08,31.08,33.98,613,386,348,-1.19,-1.31,0.13,75.28%,53.04%,68.51%,53.50%,33.12%,34.25%,10631.57
2017/10/2,32.3,33.5,32,32.9,30.84,29.45,31,33.94,728,466,377,-0.88,-1.23,0.35,80.91%,62.33%,74.58%,58.05%,32.04%,33.14%,10576.14
