®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3,TaiwnaAll
2016/10/17,11.65,12.95,11.6,12.95,12.26,12.47,11.34,9.84,876,917,1323,0.82,0.81,0.01,46.46%,54.09%,65.81%,66.92%,49.79%,51.04%,9176.22
2016/10/18,12.5,13.95,12.5,13.5,12.48,12.64,11.55,9.91,2124,1019,1437,0.87,0.82,0.05,56.61%,54.93%,71.85%,70.45%,48.53%,49.79%,9222.58
2016/10/19,13.8,13.9,12.5,12.5,12.59,12.71,11.7,9.97,1541,1184,1528,0.85,0.82,0.03,50.56%,53.48%,51.87%,58.16%,45.41%,47.60%,9283.99
2016/11/3,20.85,20.85,18.75,18.75,13.92,13.29,12.16,10.14,608,1186,1374,1.34,0.93,0.41,59.56%,55.50%,84.40%,80.89%,64.31%,55.96%,9317.24
2016/11/4,17.8,18.2,17,17.05,14.95,13.65,12.53,10.27,490,1128,1109,1.56,1.05,0.5,59.49%,56.83%,69.15%,69.66%,68.04%,62.00%,9306.57
2016/11/7,17.05,18.6,16.2,18.6,16.08,14.17,12.98,10.44,375,1028,972,1.76,1.2,0.56,64.97%,59.55%,74.24%,73.34%,73.99%,68.00%,9322.5
2016/11/8,18.6,18.9,17.55,18.55,17.09,14.79,13.43,10.6,395,682,851,1.93,1.34,0.59,68.45%,62.51%,73.77%,73.03%,76.15%,72.07%,9385.65
2016/11/9,18.6,18.7,16.8,16.8,17.95,15.27,13.77,10.73,325,439,811,1.95,1.46,0.49,64.53%,63.18%,58.24%,62.83%,73.37%,72.72%,9362.25
2016/11/10,17.35,17.6,17.05,17.1,17.62,15.77,14.08,10.86,242,365,776,1.94,1.56,0.38,62.84%,63.07%,59.97%,63.78%,72.01%,72.37%,9299.55
2016/11/11,16,16.25,15.6,16.05,17.42,16.19,14.29,10.97,435,354,741,1.82,1.61,0.21,56.06%,60.73%,51.07%,58.13%,70.56%,71.46%,9306.92
2016/11/14,16.15,16.15,15.8,15.95,16.89,16.49,14.48,11.07,137,307,667,1.69,1.63,0.07,51.15%,57.54%,50.21%,57.60%,69.01%,70.24%,9290.12
2016/11/15,16.15,16.15,15.8,15.9,16.36,16.73,14.68,11.19,116,251,466,1.58,1.62,-0.04,36.00%,50.36%,49.72%,57.31%,66.31%,68.27%,9272.7
2016/11/16,15.7,16,15.7,15.75,16.15,17.05,14.88,11.29,158,218,328,1.46,1.59,-0.13,25.52%,42.08%,48.00%,56.40%,63.19%,65.73%,9139.04
2016/11/17,15.75,17.3,15.6,17.3,16.19,16.91,15.1,11.43,578,285,325,1.43,1.55,-0.12,34.18%,39.45%,63.57%,63.04%,62.62%,64.17%,9067.27
2016/11/18,17,18.2,16.8,17.6,16.5,16.96,15.3,11.57,436,285,320,1.45,1.53,-0.08,42.99%,40.63%,65.94%,64.19%,62.57%,63.37%,9068.15
2016/11/21,17.5,17.5,16.85,17.05,16.72,16.81,15.49,11.71,165,291,299,1.41,1.51,-0.1,44.25%,41.84%,57.69%,60.43%,61.43%,62.40%,9189.84
2016/11/22,17.05,17.35,16.85,17.05,16.95,16.66,15.72,11.84,86,285,268,1.36,1.48,-0.12,48.09%,43.92%,57.69%,60.43%,58.29%,60.35%,9217.43
2016/11/23,17.05,17.4,16.95,17.1,17.22,16.69,15.98,11.97,113,276,247,1.31,1.45,-0.13,51.29%,46.38%,58.37%,60.67%,53.50%,56.92%,8943.2
2016/11/24,16.9,17.2,16.9,17,17.16,16.68,16.22,12.1,74,175,230,1.25,1.41,-0.16,52.14%,48.30%,56.19%,59.85%,48.11%,52.52%,9152.18
2016/11/25,17,17.8,17,17.4,17.12,16.81,16.5,12.25,116,111,198,1.22,1.37,-0.15,57.84%,51.48%,62.84%,62.10%,41.05%,46.78%,8957.76
2016/11/28,17.4,17.4,16.9,17.15,17.14,16.93,16.71,12.38,88,95,193,1.16,1.33,-0.17,58.43%,53.80%,56.42%,59.82%,35.63%,41.21%,8940.4
2016/11/29,17.1,17.2,17,17.05,17.14,17.05,16.89,12.52,40,86,185,1.09,1.28,-0.19,57.54%,55.05%,53.78%,58.87%,30.66%,35.93%,8931.03
2016/11/30,17.05,17.05,16.65,16.7,17.06,17.14,17.1,12.65,77,79,177,1.01,1.23,-0.22,39.44%,49.84%,44.96%,55.53%,19.16%,27.55%,8962.22
2016/12/1,16.6,16.8,16.55,16.55,16.97,17.07,16.99,12.77,52,75,125,0.91,1.16,-0.25,26.29%,41.99%,41.46%,54.09%,17.25%,22.40%,8995.26
2016/12/2,16.5,16.5,16,16.1,16.71,16.92,16.94,12.89,179,87,99,0.79,1.09,-0.3,19.38%,34.46%,32.39%,49.87%,17.88%,20.14%,9008.79
2016/12/5,16.05,16.3,16,16.05,16.49,16.82,16.81,13.01,45,79,87,0.69,1.01,-0.32,13.85%,27.59%,31.47%,49.40%,16.11%,18.12%,9041.11
2016/12/6,16.05,16.5,16.05,16.2,16.32,16.73,16.69,13.13,65,84,85,0.6,0.93,-0.32,12.93%,22.70%,37.82%,50.91%,13.38%,15.75%,9133.39
2016/12/7,16.2,17.3,16.2,17,16.38,16.72,16.7,13.27,164,101,90,0.58,0.86,-0.27,27.14%,24.18%,60.96%,58.15%,13.45%,14.60%,9178.23
2016/12/8,16.95,16.95,16.5,16.5,16.37,16.67,16.67,13.39,118,114,94,0.54,0.8,-0.25,30.00%,26.12%,47.66%,52.84%,13.33%,13.97%,9152.11
2016/12/9,16.65,17.1,16.55,16.55,16.46,16.59,16.7,13.51,65,91,89,0.51,0.74,-0.23,34.10%,28.78%,48.99%,53.30%,12.89%,13.43%,9159.07
2016/12/12,16.35,17.1,16.35,16.65,16.58,16.54,16.73,13.64,116,106,92,0.48,0.69,-0.21,39.40%,32.32%,51.94%,54.29%,12.20%,12.82%,9222.24
2016/12/13,16.35,16.9,16.35,16.65,16.67,16.5,16.77,13.76,54,103,94,0.44,0.64,-0.2,42.93%,35.86%,51.94%,54.29%,11.31%,12.06%,9192.38
2016/12/14,16.65,16.7,16.45,16.5,16.57,16.48,16.81,13.89,61,83,92,0.4,0.59,-0.19,41.44%,37.72%,46.18%,52.32%,9.96%,11.01%,9240.71
2016/12/15,16.5,16.75,16.5,16.55,16.58,16.48,16.77,14.01,42,68,91,0.37,0.55,-0.18,41.73%,39.06%,48.46%,52.94%,9.68%,10.35%,9263.53
2016/12/16,16.55,16.8,16.3,16.3,16.53,16.5,16.71,14.14,63,67,79,0.33,0.5,-0.18,34.49%,37.53%,38.63%,49.43%,8.87%,9.61%,9189.49
2016/12/19,16.3,16.7,16.25,16.6,16.52,16.55,16.68,14.26,86,61,83,0.3,0.46,-0.16,35.11%,36.73%,52.51%,53.47%,8.69%,9.15%,9160.66
2016/12/20,16.55,16.55,16.3,16.4,16.47,16.57,16.65,14.39,62,63,83,0.26,0.42,-0.16,29.29%,34.25%,44.46%,50.53%,8.58%,8.86%,9250.77
2016/12/21,16.4,16.7,16.2,16.2,16.41,16.49,16.61,14.5,69,64,74,0.23,0.38,-0.16,19.53%,29.34%,37.56%,47.68%,8.53%,8.70%,9263.89
2016/12/22,16.2,16.3,16.2,16.25,16.35,16.47,16.57,14.61,28,62,65,0.19,0.34,-0.16,14.87%,24.52%,40.34%,48.47%,8.45%,8.57%,9375.86
2016/12/23,16.25,16.3,16.2,16.3,16.35,16.44,16.51,14.72,18,53,60,0.16,0.31,-0.15,14.68%,21.24%,43.36%,49.31%,7.21%,7.89%,9392.68
2016/12/26,16.3,16.3,16.2,16.2,16.27,16.4,16.47,14.84,47,45,53,0.13,0.27,-0.14,9.78%,17.42%,38.66%,47.62%,6.46%,7.18%,9349.94
2016/12/27,16.2,16.3,16.15,16.2,16.23,16.35,16.42,14.95,38,40,51,0.1,0.24,-0.13,9.09%,14.64%,38.66%,47.62%,5.73%,6.45%,9382.14
2016/12/28,16.35,16.5,16.3,16.3,16.25,16.33,16.4,15.07,31,32,48,0.09,0.21,-0.12,13.75%,14.34%,46.95%,49.67%,5.55%,6.00%,9368.52
2016/12/29,16.25,16.3,16.1,16.25,16.25,16.3,16.39,15.18,50,37,49,0.07,0.18,-0.11,17.50%,15.40%,43.43%,48.63%,5.55%,5.78%,9360.35
2016/12/30,16.3,16.5,16.25,16.3,16.25,16.3,16.4,15.29,38,41,47,0.07,0.16,-0.09,22.78%,17.86%,48.10%,49.78%,5.34%,5.56%,9326.78
2017/1/3,16.7,16.7,16.3,16.3,16.27,16.27,16.41,15.4,45,40,43,0.07,0.14,-0.07,26.30%,20.67%,48.10%,49.78%,5.00%,5.28%,9239.32
2017/1/4,16.3,16.3,16.25,16.25,16.28,16.26,16.41,15.51,53,43,42,0.05,0.12,-0.07,25.86%,22.40%,42.99%,48.49%,4.95%,5.11%,9242.41
2017/1/5,16.25,16.45,16.25,16.35,16.29,16.27,16.38,15.62,29,43,38,0.05,0.11,-0.06,31.13%,25.31%,54.57%,51.25%,3.71%,4.41%,9204.26
2017/1/6,16.45,16.45,16.3,16.45,16.33,16.29,16.38,15.71,95,52,44,0.05,0.1,-0.04,40.20%,30.27%,63.48%,53.94%,3.67%,4.04%,9118.75
2017/1/9,16.4,16.45,16.3,16.45,16.36,16.31,16.37,15.79,64,57,49,0.05,0.09,-0.04,46.24%,35.60%,63.48%,53.94%,3.57%,3.81%,9078.64
2017/1/10,16.45,18.05,16.45,17.65,16.63,16.45,16.42,15.88,307,110,75,0.14,0.1,0.04,57.32%,42.84%,91.68%,74.23%,7.57%,5.69%,9110.54
2017/1/11,17.5,17.5,16.6,16.75,16.73,16.51,16.43,15.96,117,122,83,0.15,0.11,0.05,49.33%,45.00%,54.09%,54.56%,7.68%,6.68%,9109.27
2017/1/12,16.75,16.8,16.65,16.7,16.8,16.55,16.44,16.04,37,124,84,0.15,0.12,0.04,41.22%,43.74%,52.65%,53.70%,7.80%,7.24%,9201.4
2017/1/13,16.6,16.7,16.5,16.7,16.85,16.59,16.45,16.1,163,138,95,0.15,0.12,0.02,35.81%,41.10%,52.65%,53.70%,7.90%,7.57%,9153.09
2017/1/16,16.6,16.6,16.45,16.55,16.87,16.62,16.46,16.16,120,149,103,0.13,0.12,0,29.43%,37.21%,47.22%,50.83%,7.87%,7.72%,9253.5
2017/1/17,16.6,16.6,16.5,16.55,16.65,16.64,16.46,16.21,26,93,101,0.11,0.12,-0.01,25.18%,33.20%,47.22%,50.83%,7.85%,7.78%,9272.88
2017/1/18,16.55,16.55,16.45,16.5,16.6,16.67,16.46,16.28,44,78,100,0.1,0.12,-0.02,20.59%,29.00%,45.00%,49.78%,7.84%,7.81%,9286.96
2017/1/19,16.5,17.15,16.5,16.65,16.59,16.7,16.48,16.36,417,154,139,0.1,0.12,-0.01,20.40%,26.13%,52.98%,52.97%,7.75%,7.78%,9358.14
2017/1/20,16.65,17.6,16.65,16.7,16.59,16.72,16.51,16.43,76,137,137,0.12,0.12,0,18.81%,23.69%,55.56%,54.03%,7.71%,7.75%,9372.22
2017/1/23,16.65,17.3,16.6,16.65,16.61,16.74,16.52,16.51,109,134,142,0.12,0.12,0.01,18.33%,21.90%,52.13%,52.73%,7.65%,7.70%,9342.42
2017/1/24,16.75,16.85,16.6,16.6,16.62,16.64,16.54,16.57,190,167,130,0.11,0.12,0,16.57%,20.13%,48.53%,51.38%,7.44%,7.57%,9349.64
2017/2/2,16.65,17.3,16.65,17.2,16.76,16.68,16.59,16.63,175,193,136,0.14,0.12,0.02,32.79%,24.35%,74.18%,63.58%,7.92%,7.74%,9345.74
2017/2/3,17.35,18.9,17.35,18.9,17.21,16.9,16.72,16.74,555,221,188,0.27,0.15,0.12,55.19%,34.63%,90.42%,79.49%,14.21%,10.97%,9410.18
2017/2/6,20.75,20.75,20.75,20.75,18.02,17.31,16.95,16.77,270,260,198,0.55,0.23,0.32,70.13%,46.46%,94.74%,86.49%,24.78%,17.88%,9378.83
2017/2/7,22.8,22.8,21.6,22.8,19.25,17.93,17.27,16.87,2381,714,424,0.9,0.36,0.54,80.08%,57.67%,96.71%,90.44%,37.97%,27.92%,9292.33
2017/2/8,22.9,23.1,22.2,22.7,20.47,18.55,17.59,16.94,1711,1018,593,1.18,0.53,0.65,84.70%,66.68%,94.63%,89.05%,45.54%,36.73%,9354.53
2017/2/9,22.65,22.65,20.5,21.2,21.27,19.02,17.84,16.98,1344,1252,723,1.28,0.68,0.6,80.06%,71.14%,68.26%,71.21%,47.62%,42.17%,9341.97
2017/2/10,21.25,21.5,20.55,20.95,21.68,19.45,18.07,17.05,624,1266,744,1.32,0.81,0.51,75.68%,72.65%,64.65%,68.71%,48.65%,45.41%,9318.12
2017/2/13,21.2,21.9,20.7,21.9,21.91,19.97,18.34,17.13,545,1321,790,1.38,0.92,0.46,77.63%,74.31%,71.51%,72.69%,50.48%,47.95%,9331.46
2017/2/14,21.7,21.7,20.3,20.4,21.43,20.34,18.54,17.2,539,953,833,1.34,1,0.33,71.14%,73.25%,52.29%,59.63%,49.91%,48.93%,9424.05
2017/2/15,20.05,20.45,19.5,20.45,20.98,20.73,18.68,17.28,486,708,863,1.25,1.05,0.2,65.39%,70.63%,52.79%,59.89%,50.10%,49.52%,9447.95
2017/2/16,20.45,20.5,19.7,19.9,20.72,21,18.84,17.35,328,504,878,1.15,1.07,0.08,47.30%,62.86%,46.29%,55.56%,49.06%,49.29%,9428.97
2017/2/17,19.95,20.35,19.75,20.05,20.54,21.11,19.01,17.42,221,424,845,1.07,1.07,-0.01,36.63%,54.11%,48.37%,56.50%,47.79%,48.54%,9455.56
2017/2/18,20.35,20.35,19.8,19.8,20.12,21.02,19.16,17.46,198,354,838,0.98,1.05,-0.08,27.20%,45.14%,44.89%,54.42%,46.20%,47.37%,9538.01
2017/2/20,19.8,20,19.25,19.65,19.97,20.7,19.32,17.49,215,290,621,0.87,1.02,-0.14,22.05%,37.44%,42.68%,53.13%,44.15%,45.76%,9554.56
2017/2/21,19.9,20.2,19.6,19.8,19.84,20.41,19.48,17.54,308,254,481,0.8,0.97,-0.17,21.62%,32.17%,45.88%,54.31%,41.83%,43.79%,9543.25
2017/2/22,20,20.25,19.8,20,19.86,20.29,19.65,17.59,190,226,365,0.74,0.93,-0.18,23.85%,29.39%,50.32%,55.91%,39.09%,41.44%,9590.18
2017/2/23,20,22,20,22,20.25,20.4,19.92,17.67,683,319,371,0.81,0.9,-0.09,49.23%,36.01%,74.95%,68.14%,37.25%,39.34%,9665.59
2017/2/24,22,22,20.85,21.1,20.51,20.32,20.14,17.74,622,404,379,0.83,0.89,-0.05,55.25%,42.42%,59.12%,59.97%,34.08%,36.71%,9710.32
2017/3/1,21.2,21.2,20.35,20.35,20.65,20.31,20.33,17.79,228,406,348,0.79,0.87,-0.08,50.16%,45.00%,48.81%,54.08%,29.86%,33.29%,9718.78
2017/3/2,20.5,20.6,20.05,20.05,20.7,20.27,20.5,17.84,179,380,317,0.71,0.84,-0.12,43.14%,44.38%,45.04%,51.86%,24.55%,28.92%,9799.76
2017/3/3,19.9,20.5,19.9,20.2,20.74,20.3,20.65,17.89,98,362,294,0.65,0.8,-0.15,40.27%,43.01%,47.48%,52.92%,19.58%,24.25%,9771.25
2017/3/6,20.2,20.3,19.95,20,20.34,20.3,20.7,17.94,76,241,280,0.58,0.76,-0.18,35.94%,40.65%,44.33%,51.28%,18.19%,21.22%,9759.76
2017/3/7,20,21.4,20,20.45,20.21,20.36,20.69,18.01,165,149,276,0.56,0.72,-0.16,35.77%,39.03%,52.77%,54.72%,18.23%,19.73%,9779.92
2017/3/8,20.1,21,20.1,20.6,20.26,20.46,20.58,18.08,282,160,283,0.53,0.68,-0.14,35.97%,38.01%,55.47%,55.85%,15.72%,17.72%,9753.2
2017/3/9,20.5,20.6,20.2,20.5,20.35,20.53,20.47,18.16,97,144,262,0.5,0.64,-0.14,33.50%,36.50%,53.05%,54.85%,12.62%,15.17%,9763.93
2017/3/10,20.5,20.55,20.15,20.25,20.36,20.55,20.42,18.22,116,147,255,0.46,0.61,-0.15,27.89%,33.63%,46.89%,52.30%,12.24%,13.71%,9778.78
2017/3/13,20.25,21.25,20.25,20.75,20.51,20.43,20.41,18.29,262,184,213,0.45,0.58,-0.12,37.48%,34.92%,58.46%,56.69%,12.11%,12.91%,9769.31
2017/3/14,20.8,21.3,20.75,21.2,20.66,20.44,20.38,18.37,198,191,170,0.47,0.56,-0.08,53.88%,41.24%,66.37%,60.28%,10.77%,11.84%,9750.47
2017/3/15,21.4,21.4,20.95,21.05,20.75,20.51,20.41,18.44,175,170,165,0.48,0.54,-0.06,61.47%,47.98%,61.67%,58.52%,11.13%,11.49%,9674.78
2017/3/16,21,21.7,21,21.05,20.86,20.61,20.44,18.51,326,215,180,0.49,0.53,-0.04,61.93%,52.63%,61.67%,58.52%,11.45%,11.47%,9691.8
2017/3/17,21.1,21.8,21.1,21.4,21.09,20.73,20.51,18.59,313,255,201,0.51,0.53,-0.01,67.22%,57.49%,69.03%,61.63%,11.84%,11.65%,9648.21
2017/3/20,21.35,21.75,21.15,21.2,21.18,20.85,20.57,18.67,270,256,220,0.52,0.53,-0.01,66.38%,60.46%,61.00%,58.88%,11.96%,11.80%,9682.63
2017/3/21,21.2,21.3,20.75,20.75,21.09,20.88,20.62,18.74,208,258,225,0.48,0.52,-0.04,56.37%,59.09%,46.41%,53.05%,11.44%,11.62%,9738.07
2017/3/22,20.75,20.95,20.55,20.75,21.03,20.89,20.67,18.82,121,248,209,0.43,0.5,-0.07,49.70%,55.96%,46.41%,53.05%,10.58%,11.10%,9753.45
2017/3/23,20.95,21.3,20.7,20.75,20.97,20.92,20.72,18.88,129,208,212,0.4,0.48,-0.08,43.89%,51.94%,46.41%,53.05%,9.82%,10.46%,9658.61
2017/3/24,20.75,21.4,20.75,20.8,20.85,20.97,20.76,18.96,129,171,213,0.37,0.46,-0.08,35.93%,46.60%,48.76%,53.71%,9.27%,9.87%,9627.89
2017/3/27,20.8,20.85,19.5,20,20.61,20.9,20.66,19.02,364,190,223,0.28,0.42,-0.14,31.20%,41.47%,26.46%,43.12%,8.07%,8.97%,9697.34
2017/3/28,19.8,20.05,19.3,19.5,20.36,20.73,20.58,19.08,227,194,226,0.17,0.37,-0.2,23.46%,35.47%,19.70%,38.01%,9.22%,9.09%,9744.21
2017/3/29,19.5,19.5,18.5,18.6,19.93,20.48,20.49,19.11,338,237,243,0.01,0.3,-0.29,16.65%,29.19%,12.70%,30.84%,12.51%,10.80%,9740.31
2017/3/30,18.4,19,17.7,18.8,19.54,20.26,20.43,19.16,295,271,239,-0.13,0.21,-0.34,20.16%,26.18%,20.26%,33.86%,14.39%,12.59%,9837.83
2017/3/31,18.55,19.4,18.4,18.95,19.17,20.01,20.37,19.2,126,270,221,-0.21,0.13,-0.34,24.70%,25.69%,26.02%,36.15%,15.75%,14.17%,9908.69
2017/4/5,18.95,19,18.55,18.75,18.92,19.77,20.31,19.24,93,216,203,-0.28,0.05,-0.33,25.93%,25.77%,23.33%,34.42%,17.21%,15.69%,9912.97
2017/4/6,18.95,18.95,18.5,18.55,18.73,19.55,20.21,19.28,66,184,189,-0.34,-0.03,-0.31,24.94%,25.49%,20.74%,32.71%,18.85%,17.27%,9972.49
2017/4/7,18.55,18.55,18,18,18.61,19.27,20.08,19.31,144,145,191,-0.43,-0.11,-0.32,19.33%,23.44%,15.20%,28.47%,21.15%,19.21%,9922.66
2017/4/10,18,18,17.3,17.55,18.36,18.95,19.93,19.33,102,106,188,-0.53,-0.19,-0.34,15.23%,20.70%,12.03%,25.52%,23.88%,21.55%,9930.74
2017/4/11,17.8,17.8,17.2,17.25,18.02,18.6,19.78,19.35,101,101,186,-0.63,-0.28,-0.35,10.74%,17.38%,10.32%,23.73%,26.74%,24.14%,9902.98
2017/4/12,17.25,17.25,16.6,17.1,17.69,18.31,19.6,19.36,142,111,163,-0.72,-0.37,-0.35,12.91%,15.89%,9.50%,22.86%,29.06%,26.60%,9876.77
2017/4/13,17.1,17.1,16.8,16.95,17.37,18.05,19.39,19.37,83,114,149,-0.8,-0.46,-0.34,12.77%,14.85%,8.68%,21.97%,30.65%,28.62%,9876.45
2017/4/14,17,17.05,16.6,16.75,17.12,17.87,19.17,19.37,49,95,120,-0.86,-0.54,-0.32,10.30%,13.33%,7.63%,20.81%,32.12%,30.37%,9856.25
2017/4/17,17,17,16.35,16.45,16.9,17.63,18.94,19.35,53,86,96,-0.91,-0.61,-0.3,8.12%,11.60%,6.26%,19.14%,33.46%,31.92%,9848.15
2017/4/18,16.4,16.5,16,16.3,16.71,17.37,18.69,19.35,114,88,95,-0.97,-0.68,-0.29,8.81%,10.67%,5.65%,18.34%,33.80%,32.86%,9811.52
2017/4/19,16.3,16.8,16.3,16.75,16.64,17.17,18.47,19.35,66,73,92,-0.97,-0.74,-0.23,15.67%,12.34%,30.11%,28.18%,32.97%,32.91%,9949.48
2017/4/20,16.7,16.9,16.45,16.65,16.58,16.98,18.26,19.35,33,63,89,-0.96,-0.78,-0.18,21.28%,15.32%,28.16%,27.38%,32.32%,32.62%,9897.8
2017/4/21,16.75,16.75,16.25,16.25,16.48,16.8,18.04,19.34,44,62,79,-0.96,-0.82,-0.14,18.82%,16.49%,21.49%,24.36%,31.51%,32.06%,9873.37
2017/4/24,16.25,16.25,15.9,16,16.39,16.65,17.8,19.33,79,67,76,-0.98,-0.85,-0.13,15.01%,16.00%,18.25%,22.66%,30.16%,31.11%,9882.54
2017/4/25,15.9,16.05,15.8,16,16.33,16.52,17.56,19.32,51,55,71,-0.99,-0.88,-0.11,15.14%,15.71%,18.25%,22.66%,27.47%,29.29%,9832.42
2017/4/26,15.8,16.3,15.8,16,16.18,16.41,17.36,19.31,43,50,62,-0.99,-0.9,-0.08,15.43%,15.61%,18.25%,22.66%,25.63%,27.46%,9817.68
2017/4/27,16,16.75,16,16.25,16.1,16.34,17.2,19.31,20,47,55,-0.94,-0.91,-0.03,22.78%,18.00%,35.15%,29.09%,23.75%,25.61%,9836.68
2017/4/28,16.35,16.5,16.25,16.4,16.13,16.31,17.09,19.3,39,46,54,-0.9,-0.91,0.01,33.37%,23.13%,43.56%,32.75%,22.98%,24.29%,9732.93
2017/5/2,16.7,16.7,16.35,16.5,16.23,16.31,16.97,19.3,24,35,51,-0.84,-0.89,0.06,43.46%,29.90%,48.86%,35.19%,21.35%,22.82%,9716.4
2017/5/3,17.15,17.15,16.6,16.75,16.38,16.36,16.86,19.29,59,37,46,-0.76,-0.87,0.11,52.43%,37.41%,60.10%,41.01%,18.60%,20.71%,9746.56
2017/5/4,16.8,17.6,16.5,17.4,16.66,16.42,16.79,19.27,102,49,49,-0.65,-0.82,0.17,64.58%,46.47%,76.33%,52.99%,15.90%,18.31%,9639.94
2017/5/5,17.1,17.6,17.1,17.15,16.84,16.47,16.72,19.21,67,58,53,-0.56,-0.77,0.21,68.06%,53.66%,64.27%,48.83%,12.94%,15.62%,9632.69
2017/5/8,16.55,17.35,16.55,17.3,17.02,16.58,16.69,19.12,30,56,51,-0.5,-0.72,0.22,73.15%,60.16%,67.92%,51.33%,11.41%,13.52%,9717.41
2017/5/9,17.4,17.95,17.3,17.3,17.18,16.71,16.68,19.03,104,72,54,-0.41,-0.66,0.24,72.02%,64.11%,67.92%,51.33%,10.94%,12.23%,9717.95
2017/5/10,17.65,17.65,17.1,17.4,17.31,16.85,16.68,18.96,88,78,58,-0.35,-0.59,0.25,71.95%,66.72%,70.78%,53.15%,11.19%,11.71%,9841.71
2017/5/11,16.7,17.05,16.3,16.4,17.11,16.89,16.65,18.89,129,84,66,-0.36,-0.55,0.19,50.90%,61.45%,34.16%,37.77%,11.06%,11.38%,9856.45
2017/5/12,16.75,16.75,16.5,16.5,16.98,16.91,16.63,18.8,30,76,67,-0.36,-0.51,0.15,37.98%,53.63%,38.01%,39.67%,10.97%,11.18%,9860.62
2017/5/15,16.3,16.8,16.3,16.6,16.84,16.93,16.62,18.73,43,79,68,-0.36,-0.48,0.12,31.38%,46.21%,42.07%,41.62%,10.95%,11.06%,9872
2017/5/16,16.6,16.6,16.35,16.4,16.66,16.92,16.62,18.67,42,66,69,-0.36,-0.46,0.09,22.94%,38.45%,36.35%,38.88%,10.98%,11.02%,9941.27
2017/5/17,16.35,16.4,16.05,16.15,16.41,16.86,16.61,18.6,39,57,67,-0.38,-0.44,0.06,17.05%,31.32%,30.20%,35.68%,11.14%,11.08%,9955.33
2017/5/18,16.2,16.65,16.2,16.5,16.43,16.77,16.6,18.54,4,32,58,-0.37,-0.43,0.05,19.26%,27.30%,45.66%,42.86%,11.13%,11.10%,9967.64
2017/5/19,16.8,18.15,16.8,17.8,16.69,16.84,16.65,18.51,233,72,74,-0.27,-0.4,0.13,40.62%,31.74%,72.66%,60.68%,12.76%,11.93%,9899.94
2017/5/22,17.1,17.25,16.8,17,16.77,16.81,16.69,18.47,108,85,82,-0.23,-0.36,0.13,42.16%,35.21%,53.15%,50.18%,12.66%,12.30%,9937.25
2017/5/23,17.2,17.35,17.2,17.2,16.93,16.8,16.75,18.42,41,85,76,-0.18,-0.33,0.15,46.36%,38.93%,56.65%,52.42%,12.28%,12.29%,9915.48
2017/5/24,17.3,17.3,17.05,17.1,17.12,16.77,16.81,18.37,19,81,69,-0.15,-0.29,0.14,47.57%,41.81%,54.22%,51.16%,11.65%,11.97%,9968.32
2017/5/25,17.1,17.2,16.8,17.1,17.24,16.84,16.86,18.29,21,84,58,-0.13,-0.26,0.13,48.38%,44.00%,54.22%,51.16%,10.83%,11.40%,10001.48
2017/5/26,16.85,17,16.85,16.85,17.05,16.87,16.89,18.22,25,43,58,-0.12,-0.23,0.11,44.95%,44.32%,46.98%,47.75%,10.29%,10.85%,9986.82
2017/5/31,16.6,16.7,16.55,16.65,16.98,16.88,16.9,18.16,29,27,56,-0.14,-0.21,0.07,39.49%,42.71%,41.65%,45.13%,10.03%,10.44%,10036.82
2017/6/1,16.8,16.9,16.6,16.7,16.88,16.91,16.91,18.1,15,22,53,-0.14,-0.2,0.06,34.88%,40.10%,43.57%,45.94%,9.85%,10.14%,10031.49
2017/6/2,16.7,16.85,16.65,16.85,16.83,16.98,16.92,18.05,33,25,53,-0.14,-0.19,0.05,29.50%,36.57%,49.55%,48.43%,9.81%,9.98%,10013.67
2017/6/3,17,17.65,17,17.2,16.85,17.05,16.91,18,36,28,56,-0.09,-0.17,0.07,39.36%,37.50%,61.10%,53.85%,9.60%,9.79%,9969.45
2017/6/5,16.85,17.3,16.85,17.3,16.94,17,16.92,17.95,17,26,34,-0.07,-0.15,0.08,48.97%,41.32%,63.94%,55.31%,9.73%,9.76%,9947.62
2017/6/6,17.2,17.5,17.2,17.4,17.09,17.04,16.92,17.9,48,30,28,-0.03,-0.12,0.1,58.40%,47.02%,66.83%,56.80%,9.85%,9.80%,9997.26
2017/6/7,17.7,17.7,17,17.1,17.17,17.03,16.91,17.84,195,66,44,-0.01,-0.1,0.09,54.88%,49.64%,51.84%,51.20%,9.69%,9.75%,10007.84
2017/6/8,17.55,18.8,17.55,18.8,17.56,17.2,16.98,17.82,518,163,94,0.1,-0.06,0.16,69.92%,56.40%,80.93%,69.68%,13.52%,11.64%,10044.42
2017/6/9,18.8,20.4,18.5,19.85,18.09,17.47,17.15,17.8,875,331,179,0.29,0.01,0.28,75.18%,62.66%,86.83%,75.85%,19.44%,15.54%,10108.49
2017/6/12,19.9,20.6,19.9,20.35,18.7,17.82,17.35,17.79,656,458,242,0.48,0.1,0.37,81.37%,68.90%,88.81%,78.15%,24.71%,20.12%,10101.95
2017/6/13,20.15,20.2,19.25,19.35,19.09,18.09,17.48,17.76,265,502,266,0.56,0.19,0.37,77.03%,71.61%,65.28%,64.67%,26.11%,23.11%,10040.72
